No,village,area.total,area.NLKH,area.forestry,land.increase,land.decrease,water.source,soil.characteristic,land.slope,water.status
1100,Lê Trì,2.2,0.7,1.5,0,1,3,Đất cát pha,Dốc ít,NA
1101,Lê Trì,2,2,0,1,0,2,NA,NA,NA
1102,Lê Trì,3,0.8,2.2,,,,Đất lẫn đá,Dốc vừa,Thiếu nước
1103,Lê Trì,2.1,0.9,1.2,,,2,NA,NA,NA
1104,Lê Trì,4,4,0,1,0,1,NA,NA,Có nước
1105,Lê Trì,0.7,0.7,0,0,0,3,NA,NA,NA
1106,Lê Trì,4,4,0,0,1,4,NA,NA,NA
1107,Lê Trì,1.5,1.5,0,0,0,2,Đất lẫn đá,Dốc vừa,Có nước
1200,Lê Trì,3.5,2,1.5,0,0,3,Đất xám đen,NA,NA
1201,Lê Trì,1.5,1.5,0,0,0,2,Đất cát pha,Dốc ít,Có nước
1202,Lê Trì,0.6,0.6,0,0,0,23,Đất xám đen,Dốc cao,NA
1203,Lê Trì,3.6,3.6,0,0,0,3,NA,NA,NA
1300,Lê Trì,0.88,0.88,0,0,0,4,NA,NA,Thiếu nước
1301,Lê Trì,0.8,0.8,0,0,0,3,Đất cát pha,NA,Thiếu nước
1302,Lê Trì,1,1,0,0,0,1,NA,NA,Có nước
1303,Lê Trì,1.2,1.2,0,0,0,4,Đất xám đen,Dốc cao,Thiếu nước
1304,Lê Trì,4,4,0,1,0,1,NA,NA,Có nước
1305,Lê Trì,2.2,1,1.2,0,0,3,Đất cát pha,Dốc vừa,Thiếu nước
1306,Lê Trì,1.5,1,0.5,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
1307,Lê Trì,1.5,1.5,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
1308,Lê Trì,2,2,0,0,0,1,NA,NA,Thiếu nước
1400,Lê Trì,1,1,0,0,0,3,Đất cát pha,NA,Thiếu nước
1401,Lê Trì,1,1,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
1402,Lê Trì,1,1,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
1403,Lê Trì,0.7,0.7,0,0,0,3,NA,NA,Thiếu nước
2108,Ba Chúc,0.8,0.5,0.3,,,2,Đất lẫn đá,Dốc vừa,Có nước
2109,Ba Chúc,4,4,0,1,0,3,Đất lẫn đá,Dốc vừa,Thiếu nước
2110,Ba Chúc,1.8,1,0.8,0,0,,NA,NA,NA
2111,Ba Chúc,1.6,1.6,0,0,0,1,NA,NA,Có nước
2112,Ba Chúc,0.25,0.25,0,0,1,3,NA,NA,NA
2113,Ba Chúc,1.25,0.25,1,0,1,,NA,Dốc cao,Thiếu nước
2114,Ba Chúc,1.5,1.5,0,0,0,3,NA,NA,NA
2115,Ba Chúc,2.18,2.18,0,0,0,3,Đất lẫn đá,NA,NA
2116,Ba Chúc,2.35,2.35,0,0,0,3,NA,NA,NA
2117,Ba Chúc,3.2,2.1,1.1,0,1,23,NA,NA,NA
2204,Ba Chúc,3,3,0,0,0,3,NA,NA,NA
2205,Ba Chúc,1,1,0,0,1,3,NA,NA,NA
2206,Ba Chúc,1,1,0,0,0,13,Đất cát pha,Dốc vừa,Có nước
2207,Ba Chúc,1.7,0.8,0.9,0,0,3,NA,NA,NA
2208,Ba Chúc,0.6,0.6,0,0,0,3,Đất lẫn đá,Dốc vừa,Thiếu nước
2209,Ba Chúc,5,5,0,0,0,3,NA,NA,NA
2210,Ba Chúc,1.2,1,0.2,0,0,13,NA,NA,NA
2211,Ba Chúc,1,1,0,0,0,3,Đất lẫn đá,Dốc cao,Thiếu nước
2309,Ba Chúc,1.33,1.33,0,0,0,1,Đất cát pha,NA,Có nước
2310,Ba Chúc,2.7,2.7,0,1,0,1,Đất cát pha,NA,Có nước
2311,Ba Chúc,1,1,0,0,1,4,Đất xám đen,Dốc vừa,Thiếu nước
2312,Ba Chúc,0.4,0.3,0.1,0,0,3,Đất xám đen,Dốc cao,Thiếu nước
2313,Ba Chúc,1,1,0,0,0,3,NA,NA,NA
2314,Ba Chúc,3.6,3.6,0,0,0,1,Đất cát pha,Dốc vừa,Có nước
2315,Ba Chúc,2,1,1,0,0,3,NA,NA,Thiếu nước
2316,Ba Chúc,0.6,0.6,0,0,0,2,NA,NA,Có nước
2317,Ba Chúc,7,4,3,0,0,3,Đất xám đen,NA,Thiếu nước
2318,Ba Chúc,3,3,0,1,0,3,NA,NA,NA
2319,Ba Chúc,5,3,2,1,0,3,NA,NA,Thiếu nước
2404,Ba Chúc,0.6,0.6,0,0,1,3,Đất xám đen,Dốc cao,Thiếu nước
2405,Ba Chúc,3.4,3.4,0,0,0,3,Đất cát pha,Dốc ít,Thiếu nước
2406,Ba Chúc,2.5,2.5,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
2407,Ba Chúc,1.7,1.7,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
2408,Ba Chúc,3,0.5,2.5,0,0,12,Đất xám đen,Dốc vừa,Có nước
2409,Ba Chúc,2,0.4,1.6,0,0,34,Đất cát pha,Dốc vừa,Thiếu nước
2410,Ba Chúc,6,6,0,0,0,13,Đất cát pha,Dốc ít,Thiếu nước
2411,Ba Chúc,1.7,1.7,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
2412,Ba Chúc,1,1,0,0,0,3,Đất cát pha,Dốc ít,Thiếu nước
2413,Ba Chúc,0.4,0.4,0,0,0,3,NA,NA,NA
2414,Ba Chúc,1.3,1.3,0,0,0,3,NA,NA,NA
2500,Ba Chúc,3,3,0,0,0,3,NA,NA,NA
2501,Ba Chúc,0.5,0.5,0,0,0,3,NA,Dốc vừa,NA
2502,Ba Chúc,2,2,0,0,0,3,Đất cát pha,Dốc vừa,Thiếu nước
2503,Ba Chúc,2,2,0,0,0,3,Đất cát pha,Dốc vừa,Thiếu nước
2504,Ba Chúc,2.7,2.7,0,0,0,3,Đất xám đen,Dốc cao,NA
2505,Ba Chúc,2,2,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
2506,Ba Chúc,2,1,1,0,0,3,NA,NA,NA
2507,Ba Chúc,7,7,0,0,0,3,Đất xám đen,Dốc cao,Thiếu nước
2508,Ba Chúc,1.5,1.5,0,1,0,3,Đất cát pha,Dốc vừa,Thiếu nước
2509,Ba Chúc,1.8,1.8,0,0,0,3,Đất cát pha,Dốc vừa,Thiếu nước
2510,Ba Chúc,3,3,0,1,0,3,NA,NA,NA
3118,Ô Lâm,2.95,1,1.95,,,,NA,NA,NA
3119,Ô Lâm,1.8,0.75,1.05,1,0,3,NA,NA,NA
3120,Ô Lâm,2.3,1.8,0.5,1,0,3,Đất lẫn đá,Dốc vừa,Thiếu nước
3121,Ô Lâm,2.2,1,1.2,1,0,3,Đất lẫn đá,Dốc vừa,NA
3122,Ô Lâm,1.8,0.8,1,1,0,2,Đất xám đen,Dốc ít,Có nước
3212,Ô Lâm,1,0.6,0.4,0,0,3,NA,NA,NA
3213,Ô Lâm,0.5,0.5,0,1,0,3,Đất lẫn đá,Dốc vừa,Có nước
3511,Ô Lâm,0.5,0.25,0.25,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
3512,Ô Lâm,0.2,0.2,0,0,0,3,NA,NA,NA
3513,Ô Lâm,0.4,0.4,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
3514,Ô Lâm,0.2,0.2,0,0,0,3,Đất xám đen,NA,NA
3515,Ô Lâm,1,1,0,0,0,3,Đất cát pha,NA,NA
3516,Ô Lâm,0.5,0.5,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
3516,Ô Lâm,0.3,0.3,0,0,0,3,Đất xám đen,Dốc vừa,Thiếu nước
