index,record,family.income,NLKH.income,plant,plant.type,intercropping,area,plant.number,plant.year,yield,plant.price,income.individual,income.total,fer.annual,chem.annual,labor.annual,harvest.annual,cost.indi,cost.total,seedling.ini,fer.ini,chem.ini,labor.ini,cost.ini.indi,cost.ini.total,harvest.time
18,1304,180,47.4,xoai,aq,1,1,30,1995,2,5,10,24.4,,,home,,0,0,0,,,home,,11,5
18,1304,180,47.4,chuoi,aq,1,1,1000,1995,1.8,8,14.4,24.4,,,home,,0,0,0,,,home,,11,0
19,1304,180,47.4,tam vong,ln,1,2,600,1995,70,13,15,23,,,home,,0,0,,,,home,,19,
19,1304,180,47.4,tram,ln,1,2,600,2009,1000,,7,23,,,home,,0,0,,,,home,,19,
20,1304,180,47.4,tram,ln,0,1,70,1995,0,, ,,,,home,,0,0,0,0,0,home,0,0,
21,1305,80,70,xoai c,aq,0,0.5,150,2004,2,25,50,50,5,20,4,2,31,31,9,1.4,9,9,28.4,28.4,6
22,1305,80,70,xoai dl,aq,1,0.5,150,2000,0.8,25,20,20,,17,4,2,23,23,10,1.4,7,9,27.4,27.4,11
22,1305,80,70,gio bau,ln,1,0.5,200,2003,0,,0,20,0,0,home,0,0,23,0,0,0,home,0,27.4,
23,1306,30,23,xoai,aq,1,1,200,1993,2,11,20,23,,,home,,10,13,,,,home,,,10
23,1306,30,23,nghe,dl,1,1,,2015,0.5,7,3,23,,,home,,3,13,,,,home,,,1
24,1307,15,4,sao,ln,1,1.5,300,1998,0,,0,4,,,home,,0,0.8,0,,,home,,,11
24,1307,15,4,tam vong,ln,1,1.5,400,1998,200,20,4,4,0.8,,home,,0.8,0.8,0,,,home,,,11
25,1308,55,37.5,dao,ln,1,2,300,1989,1.5,25,37.5,37.5,2.1,0,0.6,3,5.7,5.7,3,2,0,3,8,,2
25,1308,55,37.5,sao,ln,1,2,40,1997,0,,0,37.5,0,0,home,0,0,5.7,0,0,0,home,0,,
26,1400,112,28,xoai c,aq,1,1,350,2009,,30,20,28,,,home,,,27.5,,,,home,,,7 12
26,1400,112,28,xoai tc,aq,1,1,20,1979,,12,8,28,,,home,,,27.5,,,,home,,,7 12
27,1401,30,30,xoai c,aq,0,1,400,1979,,30,30,30,,,home,,26.7,26.7,,,,home,,,7 12
28,1402,60,30,xoai c,aq,1,1,100,1990,0.7,30,20,30,,,home,,,36.5,,,,home,,,11
28,1402,60,30,xoai dl,aq,1,1,100,1993,0.8,15,10,30,,,home,,,36.5,,,,home,,,11
29,1403,30,15,buoi,aq,1,0.7,200,2017,0,,0,15.4,,,home,,3,3,3.2,,,1.5,4.7,,1
29,1403,30,15,chuoi,aq,1,0.7,,2018,,,10.4,15.4,,,home,,0,3,,,,home,,,0
29,1403,30,15,xoai,aq,1,0.7,25,1994,,5,5,15.4,,,home,,0,3,,,,home,,,4
29,1403,30,15,sao,ln,1,0.7,,1994,0,,0,15.4,,,home,,0,3,,,,home,,,
77,2108,180,30,,,,,,,,,,,,,home,,,,,,,home,,,
78,2109,100,60,tam vong,ln,0,3,500,1980,,30,20,20,0,0,home,home,,,0,0,0,home,0,,1 11 12
79,2109,100,60,tam vong,ln,0,1,500,1978,,30,40,40,0,0,home,home,,,0,0,0,home,0,,1 11 12
80,2110,75,1.5,tam vong,ln,1,1,20,2010,,,,1.5,,,home,,,4,,,,home,,,
80,2110,75,1.5,sao,ln,1,1,100,2015,,,,1.5,,,home,,,4,,,,home,,,
80,2110,75,1.5,dao,ln,1,1,7,2009,,,,1.5,,,home,,,4,,,,home,,,
81,2111,0,0,tram,ln,1,1.6,,1997,,,,,,,home,,,,,,,home,,,
81,2111,0,0,mit,aq,1,1.6,,,,,,,,,home,,,,,,,home,,,
81,2111,0,0,xoai,aq,1,1.6,,,,,,,,,home,,,,,,,home,,,
81,2111,0,0,chanh,dl,1,1.6,,,,,,,,,home,,,,,,,home,,,
81,2111,0,0,sao,ln,1,1.6,,,,,,,,,home,,,,,,,home,,,
81,2111,0,0,gio bau,ln,1,1.6,,,,,,,,,home,,,,,,,home,,,
82,2112,36,10,nghe,dl,1,0.25,,2005,10,7,,,0,0,home,0,0,,0,0,0,home,,,9 10 11 12
82,2112,36,10,rieng,dl,1,0.25,,,,5,,,0,0,home,0,0,,0,0,0,home,,,
