index,record,family.income,NLKH.income,plant,plant.type,intercropping,area,plant.number,plant.year,yield,plant.price,income.individual,income.total,fer.annual,chem.annual,labor.annual,harvest.annual,cost.indi,cost.total,seedling.ini,fer.ini,chem.ini,labor.ini,cost.ini.indi,cost.ini.total,harvest.time
32,3212,28,28,xoai c,aq,1,0.6,25,2002,,,0,,,,home,,,,,,,home,,,
32,3212,28,28,dua,aq,1,0.6,20,2002,,,0,,,,home,,,,,,,home,,,
32,3212,28,28,tram,ln,1,0.6,40,2002,,,0,,,,home,,,,,,,home,,,
32,3212,28,28,chuc,dl,1,0.6,17,2002,,,0,,,,home,,,,,,,home,,,
32,3212,28,28,cu lun,dl,1,0.6,,2018,0.5,6,3,,,,home,,,,,,,home,,,
x,3213,60,0,xoai dl,aq,1,0.5,150,2009,0,,0,,,,home,,,,3.75,3,0.7,home,,,
x,3213,60,0,sao,ln,1,0.5,50,2010,0,,0,,,,home,,,,0,,,home,,,
38,3511,,,chuoi,aq,1,0.25,200,2014,,,,,,,home,,,,1,0,0,0.8,1.8,5.6,
38,3511,,,xoai k,aq,1,0.25,200,2015,,,,,,,home,,,,2.8,0,0,1,3.8,5.6,
39,3512,30,3,xoai tc,aq,1,0.2,10,1989,,,3,3,0,0,home,0,0,0,0,0,0,home,0,0,1 2
39,3512,30,3,sao,ln,1,0.2,50,1994,,,0,3,0,0,home,0,0,0,0,0,0,home,0,0,
40,3513,30,3,xoai tc,aq,1,0.4,50,1989,,,3,3,0,0,home,0,0,0,0,0,0,home,0,0,1 2
40,3513,30,3,giang huong,ln,1,0.4,50,,,,0,3,0,0,home,0,0,0,0,0,0,home,0,0,
41,3514,,,keo,ln,1,0.2,100,1994,0,,,,,,home,,,,0,0,0,home,,0,1 12
41,3514,,,sao,ln,1,0.2,50,1994,0,,,,,,home,,,,0,0,0,home,,0,1 12
41,3514,,,xoai c,aq,1,0.2,30,2016,0,,,,,,home,,,,,,,home,,,12
42,3515,,,xoai k,aq,1,1.1,300,2016,0,,0,0,,,home,,,3.8,,,,home,,11.3,
42,3515,,,cu lun,dl,1,1.1,3000,2019,0,,0,0,,,home,,,3.8, ,,,home,,11.3,
43,3516,30,10,sao,ln,1,0.5,100,,,,10,10,,,home,,,,0,0,0,home,,,1 12
43,3516,30,10,tram,ln,1,0.5,300,,,,0,10,,,home,,,,0,0,0,home,,,
44,3517,72,0,xoai tc,aq,0,0.3,55,1989,0,,0,0,0,0,home,0,0,0,0,0,0,home,0,0,0
