"model.total","plant.total","model1.area","model1.main1","model1.main.group1","model1.main1.number","model1.main1.number.unit","model1.main1.year","model1.main1.yield","model1.main1.yield.unit","model1.main2","model1.main2.number","model1.main2.year","model1.main2.yield","model1.main2.yield.unit","model1.intercrop1","model1.intercrop.group1","model1.intercrop1.number","model1.intercrop1.number.unit","model1.intercrop1.year","model1.intercrop1.yield","model1.intercrop1.yield.unit","model1.intercrop2","model1.intercrop2.number","model1.intercrop2.year","model1.intercrop2.yield","model1.intercrop2.yield.unit","model1.intercrop3","model1.intercrop3.number","model1.intercrop3.year","model1.intercrop3.yield","model1.intercrop3.yield.unit","model1.intercrop4","model1.intercrop4.number","model1.intercrop4.year","model1.intercrop4.yield","model1.intercrop4.yield.unit","model1.intercrop5","model1.intercrop5.number","model1.intercrop5.year","model1.intercrop5.yield","model1.intercrop5.yield.unit","model1.intercrop6","model1.intercrop6.number","model1.intercrop6.year","model1.intercrop6.yield","model1.intercrop6.yield.unit","model1.plant.formula.x","model1.soil.characteristic","model1.land.slope","model1.water","model1.income.main.2018","model1.income.intercrop.2018","model1.cost.main.2018","model1.cost.intercrop.2018","model1.income.2018","model1.cost.2018","model1.profit.2018","model1.plant.formula.y","model2.area","model2.main1","model2.main1.number","model2.main1.year","model2.main1.yield","model2.main1.yield.unit","model2.intercrop1","model2.intercrop1.number","model2.intercrop1.year","model2.intercrop1.yield","model2.intercrop1.yield.unit","model2.intercrop2","model2.intercrop2.number","model2.intercrop2.year","model2.intercrop2.yield","model2.intercrop2.yield.unit","model2.intercrop3","model2.intercrop3.number","model2.intercrop3.year","model2.intercrop3.yield","model2.intercrop3.yield.unit"
1,4,0.2,"GIO BAU","LN",50,"CAY",2003,NA,NA,NA,NA,NA,NA,NA,"SAU RIENG","AQ",20,NA,2018,NA,NA,"BO",20,2010,250,"KG","MIT",20,2010,100,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",NA,5,NA,NA,5,0,5,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0.35,"SAO DEN","LN",25,"CAY",2009,NA,NA,"TRAM",15,2009,NA,NA,"DAU DA","AQ",40,NA,2013,2,"TAN","MIT",10,2009,NA,NA,"TRE (MANG)",13,2000,3,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",NA,50,NA,8,50,8,42,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,1.71,"TRE (MANG)","TP(M)",280,"BUI",1998,5.5,"TAN","SAO",650,1997,NA,NA,"BO","AQ",55,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC CAO","CO NUOC",50,60,20,15,110,35,75,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.3,"SU SU","RMTP",60,"CAY",1999,3,"TAN",NA,NA,NA,NA,NA,"TRE (MANG)","TPM",50,NA,1999,600,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT XAM DEN","DOC VUA","THIEU NUOC",30,4,5,3,34,8,26,"TPM+RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1.8,"TRE (MANG)","TP(M)",150,"BUI",1985,3,"TAN",NA,NA,NA,NA,NA,"BO","AQ",30,NA,2010,600,"KG","MANG CAU",70,200,300,"KG","CAM, QUYT",70,2016,NA,NA,"DAU",20,2012,500,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","CO NUOC",18,10,NA,2,28,2,26,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.35,"SAO DEN","LN",20,"CAY",1999,NA,NA,"BUA",10,1999,NA,NA,"DAU DA","AQ",100,NA,2009,1,"TAN","TIEU",150,2010,30,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ",NA,"DOC VUA","THIEU NUOC",NA,10,NA,1,10,1,9,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,3.5,"KEO LA TRAM","LN",200,"CAY",1990,NA,NA,"SAO",300,1990,NA,NA,"BO","AQ",20,NA,2009,100,"KG","TRE (MANG)",NA,2009,20,"TAN","DAU DA",300,2009,700,"KG","SAU RIENG",NA,2009,250,"KG","DUA",NA,2009,NA,NA,"CHANH",500,2019,NA,NA,"LN+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",NA,130,NA,20,130,20,110,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.09,"SAO DEN","LN",20,"CAY",1995,NA,NA,NA,NA,NA,NA,NA,"TRE (MANG)","TPM",65,NA,2000,1.5,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT XAM DEN","DOC CAO","THIEU NUOC",10,100,NA,50,110,50,60,"LN+RMTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1,"BO","AQ",300,"CAY",2008,1,"TAN",NA,NA,NA,NA,NA,"MANG CUT","AQ",200,NA,2008,500,"KG","TRE (MANG)",100,2018,NA,NA,"TIEU",80,2008,50,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQ","DAT CAT PHA","DOC VUA","CO NUOC",30,10,6,4,40,10,30,"AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1.3,"TRE (MANG)","TP(M)",200,"BUI",NA,3,"TAN",NA,NA,NA,NA,NA,"TIEU","AQ",200,NA,2009,100,"KG","DAU DA",40,2009,300,"KG","SAU RIENG",10,2000,30,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC CAO","THIEU NUOC",36,14,4,2,50,6,44,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
